Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	196	200	100	2000	0.91	20191028_170135_196
2	Spectrogram 1	1	259	263	100	2000	0.93	20191028_170135_259
3	Spectrogram 1	1	34	38	100	2000	0.93	20191028_170135_34
1	Spectrogram 1	1	934	938	100	2000	0.92	20191028_170135_934
1	Spectrogram 1	1	1678	1682	100	2000	0.98	20191028_170135_1678
1	Spectrogram 1	1	1828	1832	100	2000	0.92	20191028_170135_1828
2	Spectrogram 1	1	1837	1841	100	2000	0.92	20191028_170135_1837
1	Spectrogram 1	1	2200	2204	100	2000	0.95	20191028_170135_2200
2	Spectrogram 1	1	2374	2378	100	2000	0.92	20191028_170135_2374
1	Spectrogram 1	1	2887	2891	100	2000	0.91	20191028_170135_2887
1	Spectrogram 1	1	3118	3122	100	2000	0.92	20191028_170135_3118
2	Spectrogram 1	1	3154	3158	100	2000	0.92	20191028_170135_3154
3	Spectrogram 1	1	3172	3176	100	2000	0.94	20191028_170135_3172
4	Spectrogram 1	1	3376	3380	100	2000	0.91	20191028_170135_3376
5	Spectrogram 1	1	3403	3407	100	2000	0.92	20191028_170135_3403
6	Spectrogram 1	1	3418	3422	100	2000	0.92	20191028_170135_3418
7	Spectrogram 1	1	3463	3467	100	2000	0.93	20191028_170135_3463
8	Spectrogram 1	1	3475	3479	100	2000	0.91	20191028_170135_3475
