Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	106	110	100	2000	0.92	20191119_140041_106
1	Spectrogram 1	1	1012	1016	100	2000	0.99	20191119_140041_1012
2	Spectrogram 1	1	1087	1091	100	2000	0.95	20191119_140041_1087
3	Spectrogram 1	1	949	953	100	2000	0.93	20191119_140041_949
1	Spectrogram 1	1	1258	1262	100	2000	0.91	20191119_140041_1258
2	Spectrogram 1	1	1336	1340	100	2000	0.95	20191119_140041_1336
3	Spectrogram 1	1	1447	1451	100	2000	0.92	20191119_140041_1447
1	Spectrogram 1	1	1570	1574	100	2000	0.95	20191119_140041_1570
2	Spectrogram 1	1	1696	1700	100	2000	0.95	20191119_140041_1696
3	Spectrogram 1	1	1708	1712	100	2000	0.91	20191119_140041_1708
4	Spectrogram 1	1	1714	1718	100	2000	0.96	20191119_140041_1714
5	Spectrogram 1	1	1744	1748	100	2000	0.97	20191119_140041_1744
6	Spectrogram 1	1	1768	1772	100	2000	0.98	20191119_140041_1768
7	Spectrogram 1	1	1780	1784	100	2000	0.9	20191119_140041_1780
1	Spectrogram 1	1	2404	2408	100	2000	0.94	20191119_140041_2404
2	Spectrogram 1	1	2497	2501	100	2000	0.95	20191119_140041_2497
1	Spectrogram 1	1	2842	2846	100	2000	0.95	20191119_140041_2842
2	Spectrogram 1	1	2923	2927	100	2000	0.95	20191119_140041_2923
1	Spectrogram 1	1	3142	3146	100	2000	0.92	20191119_140041_3142
2	Spectrogram 1	1	3292	3296	100	2000	0.98	20191119_140041_3292
3	Spectrogram 1	1	3328	3332	100	2000	0.96	20191119_140041_3328
4	Spectrogram 1	1	3364	3368	100	2000	0.92	20191119_140041_3364
5	Spectrogram 1	1	3400	3404	100	2000	0.95	20191119_140041_3400
6	Spectrogram 1	1	3436	3440	100	2000	0.99	20191119_140041_3436
7	Spectrogram 1	1	3505	3509	100	2000	0.91	20191119_140041_3505
