Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Probability	Detections
1	Spectrogram 1	1	1486.000000000	1490.000000000	100.000	2000.000	1	20190914_180000_1486
2	Spectrogram 1	1	1645.000000000	1649.000000000	100.000	2000.000	1	20190914_180000_1645
3	Spectrogram 1	1	2164.000000000	2168.000000000	100.000	2000.000	1	20190914_180000_2164
4	Spectrogram 1	1	2191.000000000	2195.000000000	100.000	2000.000	1	20190914_180000_2191
5	Spectrogram 1	1	2488.000000000	2492.000000000	100.000	2000.000	1	20190914_180000_2488
6	Spectrogram 1	1	2506.000000000	2510.000000000	100.000	2000.000	1	20190914_180000_2506
7	Spectrogram 1	1	3013.000000000	3017.000000000	100.000	2000.000	1	20190914_180000_3013
8	Spectrogram 1	1	3175.000000000	3179.000000000	100.000	2000.000	1	20190914_180000_3175
9	Spectrogram 1	1	3283.000000000	3287.000000000	100.000	2000.000	1	20190914_180000_3283
10	Spectrogram 1	1	3463.000000000	3467.000000000	100.000	2000.000	1	20190914_180000_3463
11	Spectrogram 1	1	3514.000000000	3518.000000000	100.000	2000.000	1	20190914_180000_3514
12	Spectrogram 1	1	3577.000000000	3581.000000000	100.000	2000.000	1	20190914_180000_3577
